"Location ID","Name","County","State Code","State","Type","Latitude","Longitude","Area Code","Population","Households","Median Income","Land Area","Water Area","Time Zone"
"A161","Santa Maria","Santa Barbara County","CA","California","City","34.95303","-120.43572","805","105093","27365","50433","59005328","1648788","America/Los Angeles"
"A162","Santa Rosa","Sonoma County","CA","California","City","38.44047","-122.71443","707","174972","64088","61050","106947059","531185","America/Los Angeles"
"A163","Simi Valley","Ventura County","CA","California","City","34.26945","-118.78148","805","126788","41972","90210","107421127","1984799","America/Los Angeles"
"A164","Stockton","San Joaquin County","CA","California","City","37.9577","-121.29078","209","305658","92440","44797","159717213","7984586","America/Los Angeles"
"A165","Sunnyvale","Santa Clara County","CA","California","City","37.36883","-122.03635","408","151754","55094","105401","56936612","1817655","America/Los Angeles"
"A166","Temecula","Riverside County","CA","California","City","33.49364","-117.14836","951","112011","32835","79925","96518165","30591","America/Los Angeles"
"A167","Thousand Oaks","Ventura County","CA","California","City","34.17056","-118.8375","805","129339","45912","100946","142919822","387875","America/Los Angeles"
"A168","Torrance","Los Angeles County","CA","California","City","33.83585","-118.34063","424","148475","55377","79549","53038407","194217","America/Los Angeles"
"A169","Vallejo","Solano County","CA","California","City","38.10409","-122.25664","707","121253","41216","57028","79438815","48871171","America/Los Angeles"
"A170","Victorville","San Bernardino County","CA","California","City","34.53611","-117.29116","760","122225","31886","45894","189919736","1459026","America/Los Angeles"
"A171","Visalia","Tulare County","CA","California","City","36.33023","-119.29206","559","130104","41730","52157","97057436","51434","America/Los Angeles"
"A172","Vista","San Diego County","CA","California","City","33.20004","-117.24254","760","100890","30451","50601","48380231","0","America/Los Angeles"
"A173","West Covina","Los Angeles County","CA","California","City","34.06862","-117.93895","626","108484","30816","69189","41546642","124507","America/Los Angeles"
